Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
,Shipping,Urgency,Product Page,No,https://www.droneworld.co.za
LAST 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.garmentquarter.com/self-portrait-3d-floral-mini-dress-white.html
No thanks. I'd rather pay full price.,Popup,Misdirection,Product Page,No,https://www.sivanaspirit.com/collections/best-sellers-1/products/gemstone-power-minis
"In Stock, Only 1 Left!",Product detail,Scarcity,Product Page,No,https://www.fahrneyspens.com/Item--i-363363
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Periodic popup,Social Proof,Product Page,No,https://www.freeshipdeals.com/products/magic-toy-truck
Only 1 left,Product detail,Scarcity,Product Page,No,https://planetcyclery.com/continental-race-28-700x18-25c-presta-bike-tube-42mm-valve-stem-single
Only 4 left in stock,Product detail,Scarcity,Product Page,No,https://www.adidas.com.ph/harden-vol.-3-shoes/F97238.html
,Shipping,Urgency,Product Page,No,https://www.aquacave.com
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Periodic popup,Social Proof,Product Page,No,https://www.brandhousedirect.com.au/products/nike-mens-air-zoom-structure-18-premium-running-sport-shoes?variant=42576436677
,Shipping,Urgency,Product Page,No,https://www.motoin.de
Only 1.75 yards left in stock!,Product detail,Scarcity,Product Page,No,https://www.quiltedjoy.com/product/quilt-fabric/108-wide-backing-fabric/kaffe-fassett-circles-108-blue
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Product detail,Urgency,Product Page,No,https://adamspolishes.com/adam-s-red-bottle-die-cut-sticker.html
Viewed 1040 times in the last 7 days,Product detail section,Social Proof,Product Page,No,https://www.herringshoes.co.uk/product-info.php?brandid=6&shoeid=15736&catid=42&fp_box_id=1
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",Call to cancel auto-renewal,Obstruction,Product Page,No,https://gettoppik.com/h4/cart.aspx
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Periodic popup,Social Proof,Product Page,No,https://www.sivanaspirit.com/collections/best-sellers-1/products/gemstone-power-minis
Over 238 people have bought this product,Product detail,Social Proof,Product Page,No,https://www.theinsolestore.com/form-maximum-support-insole.html
"Hurry, only 6 left in stock!",Product detail,Scarcity,Product Page,No,https://www.wildflowercases.com/products/check-plz-iphone-10-x-case?variant=42497025861
I'd rather pay full price,Popup,Misdirection,Product Page,No,https://www.electronicexpress.com/catalog/184476/LucidAudio-ER20SMBC
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Periodic popup,Social Proof,Product Page,No,https://wowgoboard.com/collections/wowgo-board-3/products/wowgo-kit-electric-skateboard
ONLY 52 items left in stock!,Product detail,Scarcity,Product Page,No,https://vickypick.com/collections/gadgets/products/magic-roller-ball-toy-set-of-4
Don't miss out! We've sold 38 in the last few days.,Product image,Social Proof,Product Page,No,https://www.hotter.com/us/en/brooke-shoes-brkexs?fit=&colour=Blood%20Orange%20Weave
"ONLY 5 LEFT, ORDER SOON!",Product detail,Scarcity,Product Page,No,https://www.motionrc.com/products/roban-uh-60-blackhawk-v3-600-size-helicopter-scale-conversion-kit
,Discount code,Urgency,Product Page,No,https://www.thedablab.com
92 customers bought this in the last 48 hours,Product image,Social Proof,Product Page,No,https://www.next.co.uk/g722252s3#947539
Only 1 left in stock! Order soon!,Product detail,Scarcity,Product Page,No,https://www.lindinger.at/en/airplanes/accessories/sound-und-lighting/lighting/unilight-ultra-power-8wx2-mini-flash-8mm-white
"""Your purchase entitles you to the following special""",Two popups ask you to buy more.,Misdirection,Product Page,No,https://www.jrcigars.com/item/garcia-y-vega/english-corona/gvecp
ADD WORLD'S MOST COMFORTABLE CHAIRS,On the cart page you're asked to buy more in a popup,Misdirection,Cart Page,No,https://ultimategametable.com/collections/elite-series/products/copy-of-table-of-ultimate-gaming-3-5-elite-series-standard-table-height?variant=12354495217752
Only 1 left in stock - Order soon,Product detail,Scarcity,Product Page,No,https://rugs.com/navy-blue-8x10-uptown-collection-area-rug-6282216?pos=20&rt=aisle
"Only 1 left , In Stock",Product detail,Scarcity,Product Page,No,https://www.kingsizedirect.com/products/modern-fit-long-sleeve-broadcloth-flex-dress-shirt-by-ks-signature/1001556-C.html#cgid=KS_Clearance&dwvar_1001556-C_color=BLUE%20GRID%20CHECK
"No thanks, I'll still want to pay full price",Coming back to the product page will confirm shame again (popup from below the page),Misdirection,Product Page,No,https://www.brooklinen.com/products/luxe-hardcore-sheet-bundle?variant=24302663174
7 left in stock,Product detail,Scarcity,Product Page,No,https://www.stio.com/products/kids-hometown-down?variant=13130753114177
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Banner across the entire website. Recurring combination of sales.,Urgency,Product Page,No,https://www.victorianplumbing.co.uk/heritage-soap-dish-holder-chrome-ahc04
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Periodic popup,Social Proof,Product Page,No,https://www.ladida.com/products/coco-blanc-camel-velvet-blazer
,Sale,Urgency,Product Page,No,https://www.citysightsny.com
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Periodic popup,Social Proof,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Periodic popup,Social Proof,Product Page,No,https://ttdeye.com/collections/popular-products/products/ice-green
,Shipping,Urgency,Product Page,No,https://www.hollandandbarrett.com
GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,Popup urging you to buy insurance.,Misdirection,Product Page,No,https://www.smokecartel.com/products/upc-24mm-slim-straight-tube
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
Limited-time Deal,Product detail. ,Scarcity,Product Page,No,https://www.sportsmansoutdoorsuperstore.com/products2.cfm/ID/214582
Only 4 left in stock,Product detail,Scarcity,Product Page,No,https://www.jbrandjeans.com/lillie-high-rise-crop-skinny-in-photo-ready-hd-white
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.jbox.com/shirt-mosaic1
HURRY ONLY 1 ITEM LEFT!,Product detail,Scarcity,Product Page,No,https://www.publicdesire.com/us/zoe-platform-ankle-boots-in-blush-faux-suede
18 In Stock,Product detail,Scarcity,Product Page,No,https://www.candywarehouse.com/sale/jelly-belly-10-flavor-jelly-beans-pyramid-packs-240-piece-box/
Only 2 Left!,Product detail,Scarcity,Product Page,No,https://www.victoriassecret.com/clearance/bras/incredible-lightweight-max-by-victoria-sport-front-close-strappy-sport-bra-victoria-sport?ProductID=424021&CatalogueType=OLS
"No Thanks, I'll Pay Full Price",Popup,Misdirection,Product Page,No,https://www.nectarsleep.com/mattress
HURRY! ONLY 2 LEFT!,Product detail,Scarcity,Product Page,No,https://www.polyvinylrecords.com/product/when_they_fight_they_fig
ONLY 4 LEFT!,Product detail,Scarcity,Product Page,No,https://marcytilton.com/products/sarah-turkish-stretch-denim
Only 6 left,Product detail,Scarcity,Product Page,No,https://www.bdshop.com/led-ring-light-in-bd
Hurry! Only 4 left in stock.,Product detail. Decrements at scheduled intervals. Hurrify.,Scarcity,Product Page,Yes,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
Hurry only 2 left,Product detail,Scarcity,Product Page,No,https://www.houseoffraser.co.uk/women/true-religion-metalic-logo-world-tour-hoodie/d905306.pd#294541804
,Shipping,Urgency,Product Page,No,https://www.electrictobacconist.com
Only 1 left!,Product detail,Scarcity,Product Page,No,https://www.ylcamera.com.my/collections/category_used-camera/products/panasonic-hc-vxf990-4k-video-camera-98-like-new-condition-with-box-s-n-dp8ac001169-at-yl-pudu
Only 3 left in stock!,Product detail,Scarcity,Product Page,No,https://www.beachcamera.com/shop/product/SAMGTABS4NWK/Samsung-Galaxy-Tab-S4-105-inch-WiFi-Tablet-Black-64GB
Almost gone! Only 3 left In Stock,Product detail,Scarcity,Product Page,No,https://www.teva.co.uk/1015161-1.html?dwvar_1015161-1_color=CSND
"No Thanks, I rather pay full price",Popup,Misdirection,Product Page,No,https://bumpboxes.com/
,Shipping,Urgency,Product Page,No,https://www.countryattire.com
Fewer than 5 left!,Product detail,Scarcity,Cart Page,No,https://www.levi.com/US/en_US/valentines-day/men/502-regular-taper-fit-advanced-stretch-jeans/p/295070279
ONLY 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.nflshop.com/los-angeles-rams/mens-los-angeles-rams-under-armour-navy-nfl-combine-authentic-raid-performance-shorts/t-14155860+p-0230708703778+z-9-1434925292
,Discount code,Urgency,Product Page,No,https://www.jjshouse.com.au
Only a few left,Product detail,Scarcity,Cart Page,No,https://www.haglofs.com/fi/en-fi/grym-evo-jacket-men/p/604254-48H.html?size=020
ONLY 1 LEFT,Product detail,Scarcity,Cart Page,No,https://www.burkesoutlet.com/shop/bed-bath-fq-medallion-3-pc-quilt-set-pinkgrey-4181713474491/
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products.,Scarcity,Checkout Process,No,https://zodeys.com/products/real-raccoon-fur-slippers-women-2018-sliders-casual-fox-hair-flat-fluffy-fashion-home-summer-big-size-45-furry-flip-flops-shoes?utm_source=show-recent-order&utm_medium=notification
,Discount code,Urgency,Product Page,No,https://www.blindster.com
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Sticky header. Resets,Urgency,Home Page,Yes,https://www.brooklinen.com/collections/smoke-rss-away
"Only 3 left, order soon",Product detail,Scarcity,Cart Page,No,https://www.columbiasportswear.co.uk/womens-titan-ultra-half-zip-shirt-1803081.html?cgid=shopToStay-cool&dwvar_1803081_variationColor=466
Only 4 left in stock,Product detail,Scarcity,Product Page,No,https://www.icebreaker.com/en/mens-jackets-vests/merinoloft-helix-long-sleeve-zip-hood/103432_WS.html?dwvar_103432__WS_color=404
Only 2 Left In Stock,Product detail,Scarcity,Product Page,No,https://www.jayjays.com.au/shop/en/jayjays/girls/sale/all-sale/square-neck-mini-dress-931936-1?colour=BLUE%20BLACK%20WHITE%20STRIPE
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.atlantacutlery.com/antonini-old-bear-medium-pocket-knife
Purchase protection added,Adds insurance by default,Sneaking,Product Page,Depends,https://www.templeandwebster.com.au/Chaz-Cotton-Cushion-9313760494646-KASK2253.html?event_id=10969
Only 3 Left in Stock!,Product detail,Scarcity,Product Page,No,https://www.batteryjunction.com/asp-3561-opt-poly-triad-led-flashlight.html
ONLY 1 ITEM LEFT,Product detail,Scarcity,Product Page,No,https://www.othertees.com/shop/product/786/Where-It-Counts
Only 1 in stock,Product detail,Scarcity,Product Page,No,https://www.fwrd.com/product-fleur-du-mal-for-fwrd-midi-slip-with-low-back/FLEF-WI73/?d=Womens
Only 5 left in stock,Product detail,Scarcity,Product Page,No,https://www.proav.co.uk/sennheiser-xsw-d-portable-lavalier-set
Only 9 left!,Product detail,Scarcity,Product Page,No,https://www.fashionandyou.com/collections/designer-partywear-casual-wear-sarees/products/fashion-zonez-patola-weving-work-banarasi-patola-silk-purple-designer-saree-with-blouse-fz-2727
,More expensive is default,Misdirection,Product Page,No,https://www.1800flowers.com/florist-delivered-wonderful-wishes-167006?categoryId=400064999
,A pop-up shows up asking for email registration and a spinner. The spinner is deterministic. ,Misdirection,Product Page,Yes,https://www.overstock.com/Home-Garden/Mervynn-Mid-Century-Fabric-Recliner-Club-Chair-Set-of-2-by-Christopher-Knight-Home/20603810/product.html?TID=Cart:Link:ProductLink:CartItems
Hurry up! Only 4 left in stock,Product detail. Hurrify plugin.,Scarcity,Product Page,Yes,https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification
,Unclear what it's for but resets,Urgency,Product Page,No,https://www.rageon.com
1day21:04:58,Product detail. Resets.,Urgency,Cart Page,Yes,https://www.colorsbridesmaid.com/p/bridesmaid-dresses-zip-up-mermaid-sexy-off-the-shoulder-lace-chapel-train-26014/magic-purple.html
Limited Time Sale - Buy Now!,Product detail,Urgency,Product Page,No,https://www.discountbandit.com/speed-queen-commercial-laundry-pair-with-lwn432sp115tw01-top-load-washer-ld-963052.html
Only 3 items left,Product detail,Scarcity,Product Page,No,https://www.zando.co.za/Lee-Cooper-M-Carter-Logo-T-Shirt-Royal-Blue-281799.html
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Product detail. Resets. Hurrify.,Urgency,Product Page,Yes,https://rednecknationstrong.com/products/mudweiser-rnss-54
,Sale,Urgency,Product Page,No,https://www.forzieri.com
,Shipping,Urgency,Product Page,No,https://speedcubeshop.com
HURRY! Only a few left in stock!,Product detail,Scarcity,Product Page,No,https://fuzz.online/products/fg-grater
WARNING! Only 5 left in stock!,Product detail,Scarcity,Product Page,No,https://www.biltwellinc.com/p939/buy/helmets-amp-gear/helmets/gringo-s/-gringo-s-ece-helmet-sierra-green/
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://tilebar.com/basket-weave-jerusalem-gold-marble-mosaic-tile-with-blue-macauba-dot.html
,Sale,Urgency,Product Page,No,https://hhokit.ie
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Banner,Urgency,Product Page,No,https://www.urbandecay.co.uk/en_GB/features/on-the-run-mini/3605972024282.html
Your order is reserved for 09:35 minutes!,Conversion pirate,Urgency,Checkout Process,Yes,https://monkstars.com/collections/sale/products/knights-templar-tops-2?variant=13484920832098
ONLY 3 LEFT! GET IT NOW!,Product detail,Scarcity,Product Page,No,https://urban-planet.com/collections/up_womens-dresses_shop-all-dresses/products/0908-01793409-soft-ribbed-v-neck-long-sleeve-button-slit-midi-dress
,Shipping,Urgency,Product Page,No,https://www.mobilefun.co.uk
ONLY 14 LEFT AT THIS PRICE,Decrements at scheduled intervals,Scarcity,Product Page,Yes,https://ghibli.store/collections/ghibli/products/spirited-away-kaonashi-music-box
Only 1 items left,Product detail,Scarcity,Product Page,No,https://www.lazada.com.ph/products/ti-sg800-mini-drone-with-camera-altitude-hold-rc-drones-with-camera-hd-wifi-fpv-quadcopter-dron-rc-helicopter-vs-z1-jdrc-jd-16-hdrc-d2-sm-m1-i266293310-s374927029.html?search=1
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Checkout Process,Yes,https://adogadgets.com/collections/most-popular/products/quadcopter-wifi-hd-camera-drone
Someone in Egypt bought,Top right corner of page,Social Proof,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
Limited Time Offer,Popup after add to cart,Urgency,Product Page,No,https://www.garrettwade.com/arborist-large-pruning-saw.html
Your order is reserved for 29:52 minutes!,Cart page. JS resets on reload. Popular countdown library (spanish).,Urgency,Cart Page,Yes,https://shapermint.com/collections/sale/products/empetua-ultra-thin-high-waisted-panties?variant=7568059859004
Only 498 left,Product detail,Scarcity,Product Page,No,https://www.bestlaminate.com/alloc-city-scapes-helena-beam-laminate-flooring-62000368/
,Sale. Resets.,Urgency,Product Page,Yes,https://www.mightydeals.com
Price Guaranteed For DAYS/HRS/MINS/SECS,Below product image. Resets.,Urgency,Product Page,Yes,https://www.wowcher.co.uk/deal/london/10587660/babyliss-curl-secret-hair-styler-54?usr_src=search
LIMITED QUANTITY,Product detail,Scarcity,Product Page,No,https://www.starbuy.com.au/trollbeads-silver-neither-bird-nor-fish-bead-tagbe-10003-11126
Only 2 left!,Product detail,Scarcity,Cart Page,No,https://www.northridge4x4.com/part/grilles/insrt-dstblk-jk-under-the-sun-inserts-desert-tan-old-glory-black-stars-and-stripes-grill-insert
"Exposed Membership (recurring subscription) and Cancellations  If You order with Exposed Membership, you are selecting a recurring billing subscription, where You will receive a new kit approximately every 60 days. You are able to cancel by contacting Exposed customer care at 1-866-404-7656, 8am – 4pm Pacific Time, M-F.  If You are part of our Monthly installment program, You will be billed in two monthly installments for each acne kit shipped. Each kit will be shipped every two months unless your membership is canceled. To cancel Your Exposed Membership, You must: 1. first pay in full for all kits that have been shipped 2. and, then contact Exposed customer care at 1-866-404-7656 8am – 4pm Pacific Time, M-F to process Your cancellation.",Call to cancel,Obstruction,Other Page,No,https://www.exposedskincare.com/terms/
Only 3 Left! Get it before it`s gone!,Product detail,Scarcity,Product Page,No,https://www.shopplanetblue.com/product/blue-life-deep-v-sleeveless-romper-rosewood-tie-dye
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Banner,Urgency,Product Page,No,https://www.ninelineapparel.com/products/vinyl-decal-the-pledge
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Periodic popup,Social Proof,Product Page,No,https://www.inspireuplift.com/collections/home-collection/products/masterduster-cleaning-tool
"No Thanks, I don't want official software at the best price.",Popup,Misdirection,Product Page,No,https://www.cspcart.com/products/microsoft-office-2019-professional-pc
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Popup. Goes away when ends.,Urgency,Product Page,No,https://www.proflowers.com/product/premium-all-the-frills-prd-30185587
Your order is reserved for 09:45 minutes!,Resets on completion and reload,Urgency,Checkout Process,Yes,https://yeswevibe.com/collections/boots/products/flowers-3?variant=13513237823563
"No thanks, I don't want 15% off",Popup,Misdirection,Product Page,No,https://www.dormify.com/products/dusty-rose-chloe-medallion-duvet-cover-and-sham-set
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,"popup, below nav bar and product detail",Urgency,Product Page,No,https://www.nflshop.com/cincinnati-bengals/mens-cincinnati-bengals-nfl-pro-line-by-fanatics-branded-black-forever-lucky-long-sleeve-t-shirt/t-25592471+p-8136328125405+z-9-2332703621
67% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://www.zoolaa.com/collections/cups-and-filters/products/1000ml-large-gravity-feed-universal-paint-cup-for-x20-x21-or-x27-spray-gun
Only 1 left,Produt detail,Scarcity,Product Page,No,https://www.apeainthepod.com/tie-detail-maternity-top/006-13912-000-001.html?dwvar_006-13912-000-001_color=006-13912-12&cgid=wear-to-work
LIMITED TIME ONLY,Product detail,Urgency,Product Page,No,https://www.hyperli.com/products/lamb_spit_braai_for_up_to_20_at_thymekitchen
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.clatterans.com
Add and save!,After adding to cart you're shown a full page popup,Misdirection,Product Page,No,https://www.bioclarity.com/products/bioclarity-clear-skin-system
,Banner,Urgency,Product Page,Yes,https://www.autogeek.net
"ONCE IT'S GONE, IT'S GONE",Product detail,Scarcity,Product Page,No,https://www.mandmdirect.ie/01/details/NB1508/New-Balance-Mens-Flash-V2-Lightweight-Speed-Running-Shoes-Black-Team-Royal
ONLY 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.shoedazzle.com/products/FEELIN-A-LITTLE-DRUZY-BRACELET-BE1831873-2720?psrc=shop_accessories_new-arrivals
,Sale. Repeats with new sale.,Urgency,Product Page,No,https://www.levinfurniture.com
0:44:56,Product detail. Resets on visit. Limited Stock.,Urgency,Product Page,Yes,https://www.freeshipdeals.com/products/magic-toy-truck
"6,743 people have viewed recently",Right side of page,Social Proof,Product Page,No,https://shop.ozobot.com/products/evo-educator-kit
,Shipping,Urgency,Product Page,No,https://www.sgs-engineering.com
"Hurry, only 5 left",Product detail,Scarcity,Product Page,No,https://www.stanley-pmi.com/shop/classic-vacuum-insulated-bottle-2-qt
"No Thanks, I Don't Want a Free Gift",Popup,Misdirection,Product Page,No,https://www.garrettwade.com/arborist-large-pruning-saw.html
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Checkout Process,Yes,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
Only 1 left,Product detail,Scarcity,Product Page,No,https://alofthobbies.com/15ft-mini-b-usb-cable-w-ferrite-core.html
LIMITED TIME OFFER,,Urgency,Product Page,No,https://www.tomorrowsleep.com/down-alternative-white-comforter
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Free netflix that recurs,Sneaking,Product Page,Depends,https://www.vodafone.co.nz/pay-monthly/
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.personalizationmall.com
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Periodic popup,Social Proof,Product Page,No,https://www.hiphopbling.com/products/gold-presidential-bracelet-with-watch-buckle
104 people viewed this product recently!,Popup in right corner,Social Proof,Product Page,No,https://www.aveda.com/product/17976/62091/best-sellers/shampure-nurturing-conditioner#/shade/8.5_fl_oz%2F250_ml
"Now 20% off, hurry limited time offer!",Product detail,Urgency,Product Page,No,https://www.realtruck.com/ionic-pro-series-5-oval-black-nerf-bars/
"Someone in Madrid, Spain just bought",Periodic popup,Social Proof,Product Page,No,https://ghibli.store/collections/ghibli/products/spirited-away-kaonashi-music-box
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Product detail,Urgency,Product Page,No,https://www.eluktronics.com/MECH-15-G2
660 people have viewed today,Product image,Social Proof,Product Page,No,https://www.mandmdirect.com/01/details/LT3552/Lyle-And-Scott-Vintage-Mens-Halket-Canvas-Pumps-White
Only 3 left in stock.,Product detail,Scarcity,Product Page,No,https://www.pictureline.com/products/canon-6d-mark-ii-digital-camera-body-kit
No thanks I definitely measured correctly,,Misdirection,Cart Page,No,https://www.blindsdirect.co.uk/product/touched-by-design-essence-french-grey-faux-wood-venetian-blind
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Periodic popup,Social Proof,Product Page,No,https://www.sunberhair.com/collections/curly-hair/products/brazilian-curly-virgin-hair-lace-frontal-with-bundles-100-human-hair-extensions-wefts
"No thanks, I’d rather pay more",Popup,Misdirection,Product Page,No,https://www.jachsny.com/collections/mens-sale-new/products/j17c-240-op6?variant=48773837130
"No, thanks. I'd prefer not to save.",Popup,Misdirection,Product Page,No,https://www.crossrope.com/products/infinity-rope-system/get-lean-jump-rope-set
FLASH 19:15:22,Product detail,Urgency,Product Page,No,https://uk.gamesplanet.com/game/blood-bowl-2-steam-key--2849-1
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.pooldawg.com/product/athena-ath09-certified-pre-owned-pool-cue-cpq734
Only 8 items left in stock!,Product detail,Scarcity,Product Page,No,https://shop.iravin.com/collections/we-love-pink-collection/products/48157
Only 1 left!,Product detail,Scarcity,Product Page,No,https://buymobile.com.au/collections/open-box-special
"Hurry, limited quantities left!","All items have limited quantities. Hardcoded in code. Technically true, since everything is limited but most consumers would interpret otherwise.",Scarcity,Product Page,No,https://www.orthofeet.com/collections/men-shoes/products/mens-athletic-sneaker
,Shipping,Urgency,Product Page,No,https://www.condorcycles.com
HURRY ONLY 9 LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,https://roolee.com/collections/plus-size-products/products/the-switzerland-detail-dress
Hurry! Only Limited Items Left,Product detail. Unclear how many.,Scarcity,Product Page,No,https://www.freeshipdeals.com/products/magic-toy-truck
Your order is reserved for 09:54 minutes!,Resets on load,Urgency,Product Page,Yes,https://ghibli.store/collections/ghibli/products/spirited-away-kaonashi-music-box
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Periodic popup,Social Proof,Product Page,No,https://madamebridal.com/madison-james-mj368.html
19 people have viewed this item,Right side,Social Proof,Product Page,No,https://desirewear.co/products/active-leggings
Only 5 left in stock,Product detail,Scarcity,Product Page,No,https://thegymking.com/collections/sale/products/gk-capone-tracksuit-bottoms-navy-red-white-grey-marl
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Product detail,Urgency,Product Page,No,https://www.woodenstreet.com/ray-loft-small-chest-of-drawer-natural-finish
Your order is reserved for 09:45 minutes!,Timer resets,Urgency,Checkout Process,Yes,https://blade-city.com/products/closeout-free-lighter-knife
No thanks. I don’t want to save money.,Popup with wheel,Misdirection,Product Page,No,https://www.blindster.com/cellular-shades/cordless-cellular-shades-tdbu/
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",Periodic popup,Social Proof,Product Page,No,https://www.fugoo.com/fugoo-tough/
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.newfrog.com
🔥👁️ 1 person is viewing this.,Product detail,Social Proof,Product Page,No,https://www.kiiroo.com/collections/kiiroo-combo-packs/products/cliona-titan-by-kiiroo-couples-set
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Banner. Recycles sales.,Urgency,Product Page,Yes,https://www.prettylittlething.us/freyana-rose-gold-sequin-detail-long-sleeve-bodycon-dress.html 
Low In Stock Today,Product detail,Scarcity,Product Page,No,https://attitudetoday.com
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,Lumping them all in one,Forced Action,Checkout Process,No,https://www.musiciansfriend.com/pro-audio/gemini-pa-300bt-portable-line-array-column-pa-speaker-system
"No thanks, I prefer to pay full price.",Popup,Misdirection,Product Page,No,https://milkandeggs.com/products/new-york-steak-center-cut-grass-fed-12-oz
You left 2 items in your bag Released in: 29 minutes :07 seconds,Popup. Have items in cart and go to anOther Page. Timer expires but no indication of items being released.,Urgency,Cart Page,Yes,https://www.kendrascott.com/new-now/trending-now/fine-jewelry-2017/842177159576.html
Sara from Philadelphia just saved $68 on her order.,"Popup in right bottom corner. All items are ""just saved"" even if they have been sold for a while.",Social Proof,Product Page,Yes,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
Limited time offer,Banner,Urgency,Product Page,No,https://www.dysoncanada.ca/en/fans-and-heaters/dyson-hot-cool-jet-focus-am09-black-iron.html
Only 1 left,Product detail.,Scarcity,Product Page,No,https://www.brandsforless.ae/productdetails.aspx?p=JT-Rose-Floral-Box-Blue-313369&subcategory=Home-Living+Storage-Organization-354&mc=other
Only 2 left!,Product detail,Scarcity,Product Page,No,https://www.northridge4x4.com/part/grilles/insrt-dstblk-jk-under-the-sun-inserts-desert-tan-old-glory-black-stars-and-stripes-grill-insert
I'LL PAY FULL PRICE,Popup,Misdirection,Product Page,No,https://www.rainbowshops.com/p/asymmetrical-toe-ring-sandals-9013892840.html
This offer is only VALID if you add to cart now!,Popup asking you to buy more,Misdirection,Product Page,No,https://www.rockymountainoils.com/single-essential-kit-v3.html
,Shipping,Urgency,Product Page,No,https://www.skatehut.co.uk
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Periodic popup,Social Proof,Product Page,No,https://www.rpgstash.com/runescape/osrs-rogue-chest.html
